,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Instalatorów,Instalatorów,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Internetowa,Internetowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Inżynierska,Inżynierska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Irysowa,Irysowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Izydy,Izydy,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Jabłoniowa,Jabłoniowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Jagiellończyka,Aleja Kazimierza Jagiellończyka,,KOKOSZKI ,,,x,,,,,x,,,,,,,x,,,,5
Jagiellończyka,Aleja Kazimierza Jagiellończyka,,MATARNIA ,,x,,,,,,x,,,,,,x,,,,,5
Jagiellończyka,Aleja Kazimierza Jagiellończyka,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Jantarowa,Jantarowa,1-15,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Jasia i Małgosi,Jasia i Małgosi,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Jasieńska,Jasieńska,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Jasińskiego,Tadeusza Jasińskiego,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Jaśminowy Stok,Jaśminowy Stok,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Jaworowa,Jaworowa,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Jednorożca,Jednorożca,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Jelenia,Jelenia,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Jelitkowska,Jelitkowska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Jesienna,Jesienna,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Jeziorowa,Jeziorowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Jowisza,Jowisza,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Junony,Junony,,OSOWA,,,x,,,,,,,,x,,,,x,,,,5
Juraty,Juraty,,OSOWA,,x,,,,,,,,x,,,,x,,,,,5
Jutrzenki,Jutrzenki,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Kadetów,Kadetów,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Kalinowa,Kalinowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Kanapariusza,Jana Kanapariusza,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kapliczna,Kapliczna,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Kaprów,Kaprów,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Karlikowska,Karlikowska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Karpacka,Karpacka,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Karsińska,Karsińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Kartuska,Kartuska,"330-414 parz., 333-379 nieparz.",JASIEŃ,x,,,,,,,,,,x,,x,,,,,,5
Kartuska,Kartuska,"416-4440 parz., 381-409 nieparz.",JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Kartuska,Kartuska,"446 do końca parz., 411 do końca nieparz.",JASIEŃ,,,,,x,,,,,,x,,,,,x,,,5
Karwieńska,Karwieńska,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kasjopei,Kasjopei,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Kasprowicza,Jana Kasprowicza,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kaszubska,Kaszubska,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Keplera,Jana Keplera,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Kielnieńska,Kielnieńska,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Kiszewska,Kiszewska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Klukowska,Klukowska,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Kminkowa,Kminkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Kolbudzka,Kolbudzka,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Komandorska,Komandorska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Komety,Komety,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Konkordii,Konkordii,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Konstelacji,Konstelacji,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Korsarzy,Korsarzy,,OSOWA,,x,,,,,,,,,x,,,x,,,,,5
Kortowska,Kortowska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Kosmonautów,Kosmonautów,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Kościerska,Kościerska,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Koziorożca,Koziorożca,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Krajeńska,Krajeńska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Kraśnięta,Kraśnięta,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Kręckiego,Franciszka Kręckiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kruszwicka,Kruszwicka,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Kubusia Puchatka,Kubusia Puchatka,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kuszników,Kuszników,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Kwiatkowskiego,Eugeniusza Kwiatkowskiego,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Kwidzyńska,Kwidzyńska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Kwietna,Kwietna,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Kwietniowa,Kwietniowa,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Lecha,Lecha,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Ledy,Ledy,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Leskiego,Kazimierza Leskiego,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Leszczynowa,Leszczynowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Leśna,Leśna,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Letniskowa,Letniskowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Leźnieńska,Leźnieńska,,KOKOSZKI,,,,,,,,x,,,,,,,,,,,5
Liczmańskiego,Alfa Liczmańskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Limbowa,Limbowa,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Lipcowa,Lipcowa,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Lipuska,Lipuska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Lirowa,Lirowa,,MATARNIA ,,x,,,,,,x,,,,,,x,,,,,5
Lubczykowa,Lubczykowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Lublewska,Lublewska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Lubowidzka,Lubowidzka,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Lutniowa,Lutniowa,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Łagowska,Łagowska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Łapalicka,Łapalicka,,KOKOSZKI,,,x,,,,,x,,,,,,,x,,,,5
Łapińska,Łapińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Łosia,Łosia,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Łowców,Łowców,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Maciejewicza,kpt. Konstantego Maciejewicza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
