,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
116,Piecki-Migowo,ul. Morenowe Wzgórze,,"(""Osiedle Myśliwskie III"" - parking przy stacji TRAFO)",11.10.2014,10:10,10:25
117,Piecki-Migowo,ul. Myśliwska,73,(parking),11.10.2014,10:30,10:45
118,Piecki-Migowo,ul. Bulońska,3,(parking),11.10.2014,10:55,11:10
119,Piecki-Migowo,ul. Warneńska,12,(parking od szczytu klatki A),11.10.2014,11:15,11:30
120,Piecki-Migowo,ul. Belgradzka,104,(parking),11.10.2014,11:35,11:50
121,Piecki-Migowo,ul. Belgradzka,22,(parking naprzeciwko posesji),11.10.2014,11:55,12:10
122,Piecki-Migowo,ul. Belgradzka,65,(parking przy posesji),11.10.2014,12:15,12:30
123,Piecki-Migowo,ul. Belgradzka,19,(parking naprzeciwko posesji),11.10.2014,12:35,12:50
124,Piecki-Migowo,ul. Czecha,,(parking),11.10.2014,13:00,13:15
125,Przeróbka,ul. Sienna,6,(baza BOM),25.10.2014,08:30,08:45
126,Przeróbka,ul. Lenartowicza,11,(zatoka postojowa),25.10.2014,11:55,12:10
127,Przymorze Małe,ul. Piastowska,70,(plac przy nieczynnej kotłowni),18.10.2014,09:10,09:25
128,Przymorze Małe,ul. Rzepichy,20-24,(plac obok domków),18.10.2014,09:30,09:45
129,Przymorze Małe,ul. Świętopełka,,(plac na skrzyżowaniu z ul. Beniowskiego),18.10.2014,09:50,10:05
130,Przymorze Małe,ul. Chociszewskiego,17,(plac przed budynkiem),18.10.2014,10:10,10:25
131,Przymorze Małe,ul. Chłopska,35,(parking),18.10.2014,10:30,10:45
132,Przymorze Małe,ul. Chłopska,7,(parking),18.10.2014,13:10,13:25
133,Przymorze Małe,ul. Kołobrzeska,25E,(plac przed Klubem Osiedlowym),18.10.2014,13:30,13:45
134,Przymorze Małe,ul. Szczecińska,11A,(plac przy budynku),18.10.2014,13:50,14:05
135,Przymorze Małe,ul. Słupska,28,(parking przyul. Kołobrzeskiej),18.10.2014,14:10,14:25
136,Przymorze Małe,ul. Kołobrzeska,20,(obok hydroforni),18.10.2014,14:30,14:45
137,Przymorze Wielkie,ul. Piastowska,90,(parking za falowcem),18.10.2014,08:50,09:05
